Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,339.500000,341.350006,331.200012,335.899994,327.674774,487372
2015-07-28,336.500000,344.899994,336.500000,341.100006,332.747437,1107079
2015-07-29,342.850006,343.750000,333.299988,338.549988,330.259827,801921
2015-07-30,338.500000,345.250000,336.000000,338.799988,330.503693,1117699
2015-07-31,339.000000,341.600006,320.350006,323.649994,315.724731,3631818
2015-08-03,323.000000,324.000000,315.450012,317.250000,309.481415,2457661
2015-08-04,317.700012,319.399994,314.500000,315.950012,308.213257,1300131
2015-08-05,316.950012,322.850006,316.049988,320.500000,312.651855,1990552
2015-08-06,324.450012,328.750000,321.000000,327.750000,319.724335,1355010
2015-08-07,328.000000,335.149994,324.500000,334.000000,325.821289,1020332
2015-08-10,334.450012,334.500000,328.000000,329.350006,321.285156,527219
2015-08-11,330.500000,338.000000,323.100006,328.399994,320.358398,1135585
2015-08-12,327.899994,334.000000,323.200012,330.100006,322.016724,628727
2015-08-13,331.200012,338.600006,320.600006,328.149994,320.114502,1800158
2015-08-14,331.899994,337.000000,326.000000,335.049988,326.845551,349444
2015-08-17,336.100006,340.000000,330.149994,336.600006,328.357635,590909
2015-08-18,338.000000,338.600006,331.600006,336.149994,327.918640,219001
2015-08-19,335.850006,342.899994,334.250000,340.450012,332.113373,336368
2015-08-20,344.600006,345.799988,338.350006,341.200012,332.844971,758875
2015-08-21,338.100006,345.500000,334.100006,344.299988,335.869080,603152
2015-08-24,334.500000,338.850006,328.549988,332.600006,324.455566,802619
2015-08-25,335.049988,337.700012,321.500000,327.000000,318.992706,635497
2015-08-26,328.000000,333.100006,320.500000,324.750000,316.797791,795875
2015-08-27,320.000000,353.100006,320.000000,347.049988,338.551697,3735076
2015-08-28,346.100006,348.000000,338.399994,341.600006,333.235199,742569
2015-08-31,341.899994,345.000000,336.149994,337.799988,329.528198,561975
2015-09-01,335.750000,339.299988,328.000000,334.950012,326.748016,423225
2015-09-02,336.000000,336.000000,321.100006,323.100006,315.188202,909066
2015-09-03,324.850006,330.000000,323.000000,327.200012,319.187805,351699
2015-09-04,327.750000,334.399994,318.350006,332.950012,324.796997,854711
2015-09-07,333.000000,337.700012,329.100006,332.399994,324.260468,366587
2015-09-08,333.100006,334.950012,316.049988,322.000000,314.115143,842521
2015-09-09,325.250000,332.500000,324.350006,330.549988,322.455719,903800
2015-09-10,326.350006,329.799988,321.250000,325.950012,317.968414,756925
